ts,rss_mb,avail_mb,total_mb,mps_alloc_mb,mps_reserved_mb
1756712314.395451,32834.5,160038.5,262144.0,26190.8,0.0
1756712314.614860,32845.5,156987.4,262144.0,44966.5,0.0
1756712314.821005,32846.9,152284.7,262144.0,44966.5,0.0
1756712315.092752,32849.5,148310.2,262144.0,44966.5,0.0
1756712315.417655,32860.0,146627.8,262144.0,44966.5,0.0
1756712315.623301,32860.1,146622.8,262144.0,44966.5,0.0
1756712315.828407,32860.1,146622.2,262144.0,44966.5,0.0
1756712316.088643,32860.7,146626.2,262144.0,44966.5,0.0
1756712317.598750,32868.5,146897.3,262144.0,44966.5,0.0
1756712317.909721,32879.7,147047.3,262144.0,44966.5,0.0
1756712318.924709,33112.4,144022.0,262144.0,47467.0,0.0
1756712319.143877,34136.4,144489.2,262144.0,47467.0,0.0
1756712319.348306,35300.1,143758.0,262144.0,47467.0,0.0
1756712319.679915,34362.5,143758.0,262144.0,47467.0,0.0
1756712319.909645,35386.6,143758.0,262144.0,47467.0,0.0
1756712320.116488,35386.8,144554.6,262144.0,47467.0,0.0
1756712320.318121,35386.8,144675.6,262144.0,47467.0,0.0
1756712320.521094,35386.8,144952.4,262144.0,47467.0,0.0
1756712320.726381,35386.8,145782.7,262144.0,47467.0,0.0
1756712320.929701,35386.8,145784.4,262144.0,47467.0,0.0
1756712321.134525,35386.8,145797.7,262144.0,47467.0,0.0
1756712321.339107,35386.8,145802.5,262144.0,47467.0,0.0
1756712321.539649,35386.8,145802.5,262144.0,47467.0,0.0
1756712321.743534,35386.9,145802.5,262144.0,47467.0,0.0
1756712321.947492,35457.0,145802.5,262144.0,47467.0,0.0
1756712322.152455,36215.4,151448.6,262144.0,47467.0,0.0
1756712322.879832,36862.9,151125.2,262144.0,47467.0,0.0
1756712323.194188,40386.9,148959.4,262144.0,47467.0,0.0
1756712323.399376,39366.9,149805.9,262144.0,47467.0,0.0
1756712323.639316,37886.9,152031.0,262144.0,47467.0,0.0
1756712323.884813,39162.8,148217.2,262144.0,48717.0,0.0
1756712324.090133,39162.8,148217.2,262144.0,48717.0,0.0
1756712324.340419,39162.8,147055.5,262144.0,49967.0,0.0
1756712324.558183,37912.8,147688.4,262144.0,49967.0,0.0
1756712324.948902,40412.8,142060.3,262144.0,52467.0,0.0
1756712325.334400,40412.8,143537.3,262144.0,52467.0,0.0
1756712325.539541,37944.7,147509.4,262144.0,52476.7,0.0
1756712325.743918,37949.0,148654.5,262144.0,52476.7,0.0
1756712326.145009,38177.8,149174.0,262144.0,52476.7,0.0
1756712326.356806,39201.8,149605.6,262144.0,52476.7,0.0
1756712326.561850,39201.8,149973.0,262144.0,52476.7,0.0
1756712326.765986,39201.8,149998.1,262144.0,52476.7,0.0
1756712326.967699,39201.8,149999.4,262144.0,52476.7,0.0
1756712327.172004,39201.8,149994.5,262144.0,52476.7,0.0
1756712327.377497,39201.8,149996.2,262144.0,52476.7,0.0
1756712327.580700,39201.8,150090.8,262144.0,52476.7,0.0
1756712327.785039,39201.8,150092.3,262144.0,52476.7,0.0
1756712327.990539,39201.8,150098.4,262144.0,52476.7,0.0
1756712328.194882,39201.8,150097.5,262144.0,52476.7,0.0
1756712328.400520,39363.0,149932.0,262144.0,52476.7,0.0
1756712328.862994,39427.9,146316.2,262144.0,52476.7,0.0
1756712329.068812,40451.9,147872.5,262144.0,52476.7,0.0
1756712329.885112,41927.9,144450.0,262144.0,52476.7,0.0
1756712330.207716,45451.9,142562.8,262144.0,52476.7,0.0
1756712330.411547,43381.8,145470.4,262144.0,52476.7,0.0
1756712330.612493,44383.7,145076.2,262144.0,52476.7,0.0
1756712330.813435,45248.8,146021.1,262144.0,52476.7,0.0
1756712331.047365,44220.4,145807.0,262144.0,52476.7,0.0
1756712331.297084,44220.4,142587.2,262144.0,53726.7,0.0
1756712331.518756,44220.4,142062.5,262144.0,54976.7,0.0
1756712331.892349,45470.4,142349.8,262144.0,54976.7,0.0
1756712332.462325,45470.4,138191.4,262144.0,57476.7,0.0
1756712332.666973,42975.4,142750.6,262144.0,57486.5,0.0
1756712332.876355,42990.2,140678.2,262144.0,57491.0,0.0
1756712333.262714,42996.0,137834.8,262144.0,57493.0,0.0
1756712333.467512,43023.3,135044.4,262144.0,57509.7,0.0
1756712333.674107,43059.0,135044.4,262144.0,57504.5,0.0
1756712333.878737,43108.2,135044.4,262144.0,57497.5,0.0
1756712334.083920,43164.9,135044.4,262144.0,57504.6,0.0
1756712334.287196,43215.8,134448.7,262144.0,57493.0,0.0
1756712334.492306,43271.5,134391.9,262144.0,57505.5,0.0
1756712334.696733,43334.2,134337.0,262144.0,57498.0,0.0
1756712334.901795,43386.0,134337.0,262144.0,57513.2,0.0
1756712335.106800,43446.3,134337.0,262144.0,57506.7,0.0
1756712335.309082,43503.4,134154.8,262144.0,57518.8,0.0
1756712335.514298,43557.2,134106.3,262144.0,57506.6,0.0
1756712335.718798,43610.5,134045.8,262144.0,57501.4,0.0
1756712335.919287,43664.8,133982.0,262144.0,57513.2,0.0
1756712336.123803,43722.1,133935.0,262144.0,57508.7,0.0
1756712336.327361,43773.9,133883.5,262144.0,57515.6,0.0
1756712336.528533,43825.4,133838.8,262144.0,57499.5,0.0
1756712336.732713,43877.5,133771.7,262144.0,57513.1,0.0
1756712336.937878,43939.4,133768.9,262144.0,57502.5,0.0
1756712337.142420,43991.1,133768.9,262144.0,57504.6,0.0
1756712337.345961,44048.2,133602.9,262144.0,57515.1,0.0
1756712337.551095,44103.3,133549.0,262144.0,57507.9,0.0
1756712337.755931,44158.8,133493.7,262144.0,57517.4,0.0
1756712337.962480,44218.4,133431.4,262144.0,57509.5,0.0
1756712338.164320,44265.4,133431.4,262144.0,57524.8,0.0
1756712338.367007,44324.7,133323.7,262144.0,57514.4,0.0
1756712338.571409,44376.2,133284.7,262144.0,57507.6,0.0
1756712338.777555,44433.4,133232.4,262144.0,57517.6,0.0
1756712338.981568,44491.1,133232.5,262144.0,57509.0,0.0
1756712339.188831,44545.6,133232.5,262144.0,57519.6,0.0
1756712339.394780,44606.7,133052.5,262144.0,57514.6,0.0
1756712339.598970,44660.4,133001.1,262144.0,57508.0,0.0
1756712339.804605,44719.6,133001.2,262144.0,57515.0,0.0
1756712340.008736,44770.3,133001.2,262144.0,57506.5,0.0
1756712340.255559,44770.3,133001.2,262144.0,57490.5,0.0
1756712340.457563,44770.3,132650.7,262144.0,57490.5,0.0
1756712340.661786,44770.3,132646.4,262144.0,57490.5,0.0
1756712340.866256,44770.3,132645.0,262144.0,57490.5,0.0
1756712341.070270,44770.3,132650.9,262144.0,57490.5,0.0
1756712341.275118,44770.3,132645.8,262144.0,57490.5,0.0
1756712341.480072,44770.3,133750.2,262144.0,57490.5,0.0
1756712341.685272,44770.3,136439.0,262144.0,57490.5,0.0
1756712341.888606,44770.3,136444.8,262144.0,57490.5,0.0
1756712342.301810,44774.3,136406.7,262144.0,57495.0,0.0
1756712342.505891,44788.1,132893.9,262144.0,57495.5,0.0
1756712342.708520,44856.1,132840.3,262144.0,57497.5,0.0
1756712342.912703,44913.5,132778.8,262144.0,57500.7,0.0
1756712343.114271,44967.2,132730.7,262144.0,57499.4,0.0
1756712343.317221,45022.4,132668.0,262144.0,57498.7,0.0
1756712343.520673,45072.5,132607.3,262144.0,57497.5,0.0
